duration,num_final,num_invalid_requests,timeouts,sum_max_threads,sum_num_days,sum_num_cols,sum_bytes_scanned,load
497915.0,0.0,0.0,0.0,60977.0,41661.0,6824.0,7869299.0,51.59375
524149.0,1.0,0.0,0.0,56287.0,42802.0,6315.0,7294748.0,49.020833
517695.0,1.0,0.0,0.0,58880.0,38578.0,6647.0,5841175.0,46.447917
523730.0,5.0,0.0,0.0,56560.0,40175.0,6395.0,6064211.0,43.875
486155.0,13.0,0.0,0.0,54693.0,46764.0,6170.0,4834335.0,41.322917
482120.0,0.0,0.0,0.0,50778.0,37393.0,5713.0,4534236.0,40.270833
497883.0,0.0,0.0,0.0,53701.0,40450.0,6008.0,9406642.0,41.229167
530314.0,0.0,0.0,0.0,61399.0,41389.0,6835.0,9953764.0,42.1875
518504.0,0.0,0.0,0.0,56466.0,44868.0,6338.0,5472313.0,43.5
520651.0,0.0,0.0,0.0,56497.0,41326.0,6361.0,5134660.0,44.8125
450809.0,0.0,0.0,0.0,50607.0,41761.0,5740.0,4967768.0,46.125
605555.0,0.0,0.0,0.0,57851.0,49763.0,6509.0,5513234.0,45.5625
632380.0,1.0,0.0,0.0,66915.0,50202.0,7450.0,7146304.0,44.65625
730280.0,1.0,0.0,0.0,80305.0,55797.0,8830.0,7581696.0,43.75
611082.0,0.0,0.0,0.0,69076.0,52890.0,7666.0,4597100.0,43.84375
670390.0,0.0,0.0,0.0,65529.0,47855.0,7355.0,5962006.0,46.6875
534459.0,0.0,0.0,0.0,61508.0,50192.0,6840.0,6460447.0,45.916667
496972.0,0.0,0.0,0.0,58491.0,54994.0,6486.0,5406421.0,46.020833
544783.0,0.0,0.0,0.0,59595.0,53667.0,6710.0,5760508.0,46.625
526635.0,0.0,0.0,0.0,61062.0,53750.0,6813.0,9108264.0,47.770833
525188.0,0.0,0.0,0.0,53584.0,49840.0,6020.0,5382279.0,50.09375
621223.0,0.0,0.0,0.0,62647.0,55771.0,6992.0,4788453.0,53.0
598606.0,0.0,0.0,0.0,54306.0,48862.0,6137.0,4840729.0,58.65625
596618.0,0.0,0.0,0.0,59094.0,45241.0,6643.0,4839593.0,64.3125
584378.0,0.0,0.0,0.0,57216.0,50858.0,6450.0,6900839.0,69.96875
644203.0,2.0,0.0,0.0,61070.0,54323.0,6782.0,7246549.0,71.96875
654840.0,1.0,0.0,0.0,60236.0,52343.0,6720.0,6313122.0,73.96875
633535.0,0.0,0.0,0.0,56452.0,51063.0,6373.0,6634532.0,75.96875
588024.0,0.0,0.0,0.0,61313.0,51174.0,6873.0,5369062.0,78.229167
613854.0,0.0,0.0,0.0,61610.0,54305.0,6854.0,6113812.0,80.489583
498708.0,0.0,0.0,0.0,56792.0,56105.0,6383.0,4586219.0,82.75
527578.0,1.0,0.0,0.0,60689.0,52353.0,6733.0,10429595.0,79.260417
497954.0,0.0,0.0,0.0,59761.0,54118.0,6722.0,4923560.0,75.770833
480018.0,0.0,0.0,0.0,56052.0,58441.0,6286.0,5200217.0,72.28125
520560.0,0.0,0.0,0.0,54022.0,54056.0,6056.0,4194029.0,69.1875
684463.0,4.0,0.0,0.0,63560.0,57804.0,7068.0,6022128.0,68.28125
749003.0,5.0,0.0,0.0,73808.0,60559.0,8207.0,5522107.0,73.8125
714740.0,1.0,0.0,0.0,70593.0,50282.0,7812.0,6224590.0,84.40625
711984.0,0.0,0.0,0.0,76012.0,54528.0,8435.0,5256743.0,81.3125
630403.0,0.0,0.0,0.0,66953.0,51692.0,7454.0,6583384.0,78.21875
574432.0,0.0,0.0,0.0,62222.0,52565.0,6943.0,5128866.0,75.125
580145.0,0.0,0.0,0.0,62458.0,56531.0,6942.0,7348198.0,73.875
476883.0,0.0,0.0,0.0,51713.0,50145.0,5823.0,6017968.0,72.625
599756.0,8.0,0.0,0.0,62643.0,54772.0,7000.0,11946548.0,71.375
485624.0,0.0,0.0,0.0,56041.0,52941.0,6328.0,7075025.0,67.927083
517696.0,0.0,0.0,0.0,55952.0,42270.0,6324.0,10472626.0,64.479167
465177.0,0.0,0.0,0.0,54606.0,38524.0,6159.0,4491666.0,61.03125
578770.0,0.0,0.0,0.0,62188.0,47435.0,6991.0,6633421.0,60.416667
583884.0,0.0,0.0,0.0,60192.0,49993.0,6773.0,6777605.0,59.802083
721993.0,3.0,0.0,0.0,65002.0,54650.0,7445.0,6589006.0,59.1875
735150.0,5.0,0.0,0.0,61256.0,57975.0,7131.0,6092999.0,57.395833
695032.0,4.0,0.0,0.0,56198.0,49337.0,6535.0,5486455.0,56.0
724025.0,0.0,0.0,0.0,62345.0,55431.0,7194.0,5488145.0,53.8125
767392.0,0.0,0.0,0.0,56569.0,53427.0,6549.0,6126109.0,52.583333
706821.0,0.0,0.0,0.0,55227.0,46586.0,6316.0,4391585.0,51.354167
801076.0,0.0,0.0,0.0,63660.0,45432.0,7062.0,9750765.0,53.197917
557245.0,0.0,0.0,0.0,53770.0,49622.0,6091.0,5289870.0,60.6875
637150.0,0.0,0.0,0.0,58997.0,47714.0,6619.0,5980547.0,67.489583
645709.0,8.0,0.0,0.0,52717.0,44118.0,5961.0,5349278.0,74.291667
712299.0,2.0,0.0,0.0,57980.0,47358.0,6468.0,5754112.0,81.09375
834907.0,4.0,0.0,0.0,69912.0,42102.0,7669.0,6267078.0,87.03125
834812.0,12.0,0.0,0.0,76157.0,43808.0,8395.0,6158775.0,102.59375
