duration,num_final,num_invalid_requests,timeouts,sum_max_threads,sum_num_days,sum_num_cols,sum_bytes_scanned,load
456364.0,0.0,0.0,0.0,44820.0,34130.0,5595.0,8316560.0,33.260416
457503.0,0.0,0.0,0.0,47795.0,34721.0,5882.0,5801957.0,32.28125
604150.0,0.0,0.0,0.0,59094.0,35912.0,7187.0,10077899.0,34.270832
706364.0,0.0,0.0,0.0,75138.0,35335.0,8827.0,7454490.0,36.656249
635046.0,0.0,0.0,0.0,64340.0,36821.0,7542.0,13699120.0,36.291666
497329.0,0.0,0.0,0.0,55615.0,34274.0,6677.0,7487331.0,35.927083
480946.0,5.0,0.0,0.0,49225.0,33756.0,6122.0,7260789.0,35.833334
507318.0,9.0,0.0,0.0,50227.0,36084.0,6170.0,7428551.0,36.125001
468907.0,9.0,0.0,0.0,48410.0,32944.0,5958.0,6552547.0,35.375001
527189.0,7.0,0.0,0.0,54972.0,36451.0,6779.0,7511443.0,34.625001
411385.0,0.0,0.0,0.0,43226.0,40041.0,5457.0,7814966.0,34.46875
452958.0,10.0,0.0,0.0,45359.0,40950.0,5639.0,5252107.0,38.9375
474076.0,1.0,0.0,0.0,48272.0,37019.0,6089.0,7743220.0,39.010416
487546.0,10.0,0.0,0.0,49108.0,43326.0,6179.0,6812204.0,39.083333
486778.0,0.0,0.0,0.0,49241.0,39136.0,5989.0,9210134.0,39.156249
539619.0,0.0,0.0,0.0,53522.0,39608.0,6608.0,8884077.0,39.177083
509410.0,0.0,0.0,0.0,47989.0,39438.0,5910.0,11837643.0,39.197917
447118.0,0.0,0.0,0.0,47732.0,39091.0,5885.0,13558612.0,39.218751
506714.0,0.0,0.0,0.0,48285.0,35812.0,5929.0,13616781.0,37.5
471598.0,0.0,0.0,0.0,48400.0,36872.0,6097.0,10704226.0,35.781249
389774.0,0.0,0.0,0.0,41315.0,33940.0,5167.0,6699042.0,34.062499
440889.0,0.0,0.0,0.0,45872.0,34736.0,5633.0,7478644.0,36.843749
446579.0,0.0,0.0,0.0,47802.0,37136.0,5782.0,5546052.0,39.624999
476068.0,0.0,0.0,0.0,47499.0,38206.0,5873.0,7879815.0,42.406249
390729.0,0.0,0.0,0.0,39825.0,34509.0,5063.0,5203657.0,40.135416
507238.0,0.0,0.0,0.0,48998.0,44978.0,5997.0,8958257.0,37.864584
537338.0,0.0,0.0,0.0,58363.0,39708.0,7037.0,7876479.0,35.593751
655179.0,0.0,0.0,0.0,69074.0,39714.0,8140.0,9562736.0,34.458333
764151.0,0.0,0.0,0.0,78933.0,40132.0,9234.0,11681163.0,35.28125
516885.0,0.0,0.0,0.0,57165.0,36686.0,6868.0,8384212.0,36.0
493660.0,0.0,0.0,0.0,49141.0,37368.0,6065.0,6291328.0,38.6875
